UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
MediaOne TV,@MediaOneTVLive,2020-12-04T01:05:46.000Z,"സംസ്ഥാനത്ത് ബുറേവി ആശങ്ക ഒഴിയുന്നു; കേരളത്തിലെത്തുക ശക്തി കുറഞ്ഞ ന്യൂനമർദ്ദമായി  https://mediaonetv.in/kerala/2020/12/04/burevi-relieves-anxiety-in-state… #Burevi #CycloneBureviസംസ്ഥാനത്ത് ബുറേവി ആശങ്ക ഒഴിയുന്നു; കേരളത്തിലെത്തുക ശക്തി കുറഞ്ഞ ന്യൂനമർദ്ദമായി
ബുറേവി അതിതീവ്ര ന്യൂനമർദ്ദമായി രാമനാഥപുരം തൂത്തുക്കുടി ജില്ലകളില്‍ പ്രവേശിക്കും. കാറ്റിന്‍റെ വേഗത മണിക്കൂറില്‍ 65 കിലോമീറ്റർ വരെയായി
mediaonetv.in",,2,
Polimer News,@polimernews,2020-12-04T00:34:10.000Z,"#BureviCyclone || வலுவிழந்தது புரெவி புயல் 
| #BureviCyclone | #Rain | #Burevi | #IMD | #TamilNadu | #CycloneBurevi | #HeavyRain | #WeatherUpdate | #Pamban",1,199,12
Brenda Oliveira- Fenômenos Naturais,@BrendaO42131060,2020-12-03T20:55:20.000Z,"Ciclone Burevi
Neste momento em condição de tempestade tropical chega em #TamilNadu 
Confiram o vídeo
https://youtu.be/Yq_jqtF8abw

#Cyclone #CycloneBurevi #India",,1,
Veena Vadini,@Veena_Vadini_,2020-12-03T18:51:21.000Z,"#CycloneBureviANI
@ANI
 · 20h
Kerala: 177 people shifted from Ponmudi hill station in Trivandrum district to relief camp at Government High School in Anappara, in the wake of cyclone #Burevi. The process of shifting people to a safer location is underway.",,,
Firstpost,@firstpost,2020-12-03T18:00:47.000Z,"#CycloneBurevi | The deep depression would move west-southwestwards and cross Ramanathapuram and Thoothukudi districts between Thursday night and Friday early morning, said the IMDCyclone Burevi weakens into deep depression, to cross Tamil Nadu coast by tomorrow morning: IMD -...
The IMD had earlier predicted that Burevi, which crossed the Sri Lanka coast on Wednesday night, would hit the Tamil Nadu coast as a cyclonic storm
firstpost.com",,5,
www.indianstatesinfo.com,@wwwindianstate2,2020-12-03T17:03:21.000Z,"#AwardWapsiReturns  #brahminlivesmatter  #CycloneBurevi  #DharampalGulati #DonaldTrump  #EndSARS
  #FarmersProtestDelhi2020  #googlepaygoindiagame  #HappyBirthdayJin  #increasetnmbbsseats  #JINDAY  #JoeBidenCoronavirus Vaccine UpdatesCoronavirus Vaccine Updates
  Coronavirus Vaccine Updates   coronavirus medicine updates The vaccine will be available across the World from next week. Coronavirus ...
indianstatesinfo.com",,1,4
The New Indian Express,@NewIndianXpress,2020-12-03T16:40:53.000Z,"#CycloneBurevi over the Gulf of Mannar moved westwards and weakened into a deep depression. It lay centered at close to Ramanathapuram coast, about 20 km southwest of Pamban and 210 km east-northeast of Kanniyakumari. 
@xpresstnCyclone Burevi weakens into deep depression, to cross Tamil Nadu early on Friday
The deep depression would move west-southwestwards and cross Ramanathapuram and Thoothukudi between Thursday night and Friday wee hours with a wind speed of 50-60 gusting to 70 kmph.
newindianexpress.com",1,12,3
TOI Kochi,@TOIKochiNews,2020-12-03T16:28:28.000Z,"177 people shifted from Ponmudi hill station in #Trivandrum district to relief camp at Government High School in #Anappara, in the wake of #CycloneBurevi. The process of shifting people to a safer location is underway (ANI)",,3,1
Pratheesh G Nair,@PratheeshGN,2020-12-03T16:09:38.000Z,"ചുഴലിക്കാറ്റ് മുന്നറിയിപ്പ്: അഞ്ചു ജില്ലകളിൽ വെള്ളിയാഴ്ച (ഡിസംബർ 4) പൊതു മേഖലാ സ്ഥാപനങ്ങൾ ഉൾപ്പെടെയുള്ള ഓഫീസുകൾക്ക് സർക്കാർ  അവധി. തിരുവനന്തപുരം, കൊല്ലം, പത്തനംതിട്ട, ആലപ്പുഴ, ഇടുക്കി ജില്ലകളിലാണ്  അവധി.
#CycloneBurevi #Holiday",,1,
News18 Tamil Nadu,@News18TamilNadu,2020-12-03T15:49:53.000Z,"புயல் மற்றும் கனமழையின்போது பயிர்கள் சேதமடையாமல் இருக்க விவசாயிகள் செய்ய வேண்டியவை என்னென்ன?

#Farmers | #ReShare  |#CycloneBurevi

Click...புயல் மற்றும் கனமழையின்போது பயிர்கள் சேதமடையாமல் இருக்க விவசாயிகள் செய்ய வேண்டியவை என்னென்ன?–...
புயல் மற்றும் கனமழையின் போது பயிர்கள் சேதமடையாமல் பாதுகாப்பதற்கு விவசாயிகள் செய்ய வேண்டிய முன்னெச்சரிக்கை நடவடிக்கைகள் என்னென்ன? | What should farmers do to prevent damage to crops during cyclone and...
tamil.news18.com",,10,3
Shilpa Nair,@NairShilpa1308,2020-12-03T15:29:33.000Z,"IMD update: #CycloneBurevi has weakened into a deep depression. 

It would move and cross Ramanathapuram and Thoothukudi districts during 3rd Dec night to 4th Dec early hours with wind speed of 50-60 gusting to 70 kmph.",1,35,3
Hindustan Times,@htTweets,2020-12-03T15:12:40.000Z,"#CycloneBurevi | Thiruvananthapuram airport to remain closed on Friday as IMD issues red alert in five districts

http://hindustantimes.com/kerala/cyclone-burevi-thiruvananthapuram-airport-to-remain-closed-on-friday-as-imd-issues-red-alert-in-five-districts/story-VfXuQwjXV6kHs31Xs7yvbI.html…GIF",,15,4
naaz,@alwaysnaaz,2020-12-03T14:52:19.000Z,"#CycloneBureviHindustan Times
@htTweets
 · Dec 3
Cyclonic storm #Burevi nears Tamil Nadu coast and is likely to make landfall in Kerala by December 4. IMD said that Burevi is expected to move west-northwestwards and emerge into the Gulf of Mannar.",,,
Opoyi Malayalam,@OpoyiMalayalam,2020-12-03T14:41:56.000Z,"Cyclone Burevi; ജാഗ്രതാ നിർദേശവുമായി ആരോഗ്യവകുപ്പ് 
പ്രശ്‌നബാധിതമായ എല്ലാ ജില്ലകളിലും റാപ്പിഡ് റെസ്‌പോണ്‍സ് ടീം എപ്പോഴും ജാഗ്രതയായിരിക്കാൻ നിർദേശം  #BureviCyclonekerala #CycloneBurevi #keralaCyclone Burevi; ജാഗ്രതാ നിർദേശവുമായി ആരോഗ്യവകുപ്പ്
എല്ലാ പ്രവര്‍ത്തനങ്ങളും കോവിഡ് മാനദണ്ഡങ്ങള്‍ പാലിച്ച് നിര്‍വഹിക്കണം പ്രധാന ആശുപത്രികളും മെഡിക്കല്‍ കോളേജുകളും വേണ്ടത്ര മുന്നൊരുക്കങ്ങള്‍ നടണം പ്രശ്‌നബാധിതമായ എല്ലാ ജില്ലകളിലും റാപ്പിഡ് റെസ്‌പോണ്‍സ്...
opoyi.com",,,
NewsBytes,@NewsBytesApp,2020-12-03T14:29:35.000Z,"Storm surge of 1m height to flood low-lying TN areas #CycloneBureviCyclone Burevi to cross Pamban soon; alert in TN, Kerala | NewsBytes
The cyclonic storm named Burevi in the Bay of Bengal is expected to reach Pamban island off the Tamil Nadu coast soon, the Indian Meteorological Department said | NewsBytes
newsbytesapp.com",,,
Kamal Sankar,@KamalSankar,2020-12-03T14:13:48.000Z,"#CycloneBurevi As the cyclone storm is expected to reach #Trivandrum by tomorrow (4 Dec), Residents from #Ponmudi Hill Area being evacuated. They are being accommodated at Schools at #Vithura and #Anappara .",,,
DD News Malayalam,@DDNewsMalayalam,2020-12-03T14:05:07.000Z,"ബുറേവി ചുഴലിക്കാറ്റ് നാളെ ഉച്ചയോടെ തിരുവനന്തപുരത്ത് വീശാൻ സാധ്യതയുണ്ടെന്ന മുന്നറിയിപ്പിന്റെ പശ്ചാത്തലത്തിൽ തിരുവനന്തപുരം അന്താരാഷ്ട്ര വിമാനത്താവളത്തിന്റെ പ്രവർത്തനം നാളെ രാവിലെ 10 മുതൽ വൈകിട്ട് ആറു വരെ നിർത്തിവയ്ക്കും. സുരക്ഷ ഉറപ്പാക്കുന്നതിന്റെ ഭാഗമായാണു നടപടി.

#CycloneBurevi",,2,2
Gopiharan Perinpam,@gopiharan,2020-12-03T13:55:28.000Z,"#CycloneBurevi #lkaதிலீபன்
@thilee24
 · 23h
கிளிநொச்சி ஜெயந்திநகர் பகுதியில் மரம் முறிந்து விழுந்ததில்,வீட்டில் உறங்கிக்கொண்டிருந்த குழந்தை தப்பியது.
3/12/2020
படம்-முகநூல்",,3,
cryptoAK,@BelieveRonaldo7,2020-12-03T13:50:03.000Z,"Cyclonic storm Burevi likely to move out Gulf of Mannar by noon today & to cross India's South #TamilNadu. Influence of the cyclonic storm is expected to be gradually reduced during next few hours for SL #LKA #SriLanka 
#CycloneBurevi #BureviCycloneGIF",,,
bhaskaran(BS),@BHASKARANSHIVAR,2020-12-03T13:42:37.000Z,#Burevi #chennairains #Northeastmonsoon   #Tamilnadurains #CycloneBurevi,,5,
"Satheesh lakshmanan
சதீஷ் லெட்சுமணன்",@Saislakshmanan,2020-12-03T13:34:50.000Z,"#புரெவி புயல் முன்னெச்சரிக்கை நடவடிக்கை

நாளை கன்னியாகுமரி, நெல்லை, தூத்துக்குடி, தென்காசி, ராமநாதபுரம், விருதுநகர் மாவட்டங்களுக்கு பொது விடுமுறை அறிவித்தது தமிழக அரசு.
#CycloneBurevi",,12,6
